n1	n2
HPLNQCPCUACXLM-PGUFJCEWSA-N	P10415
HPLNQCPCUACXLM-PGUFJCEWSA-N	Q07817
HPLNQCPCUACXLM-PGUFJCEWSA-N	Q92843
HPTXLHAHLXOAKV-UHFFFAOYSA-N	P26358
HPTXLHAHLXOAKV-UHFFFAOYSA-N	Q9UBC3
HUXYBQXJVXOMKX-UHFFFAOYSA-N	O94921
HUXYBQXJVXOMKX-UHFFFAOYSA-N	P06493
HUXYBQXJVXOMKX-UHFFFAOYSA-N	P11802
HUXYBQXJVXOMKX-UHFFFAOYSA-N	P24941
HUXYBQXJVXOMKX-UHFFFAOYSA-N	P50613
HUXYBQXJVXOMKX-UHFFFAOYSA-N	P50750
HUXYBQXJVXOMKX-UHFFFAOYSA-N	Q00535
HXBKPYIEQLLNBK-UHFFFAOYSA-N	P10276
HXBKPYIEQLLNBK-UHFFFAOYSA-N	P10826
HXNBAOLVPAWYLT-OVCLIPMQSA-N	O75365
HZNTVAYNXKPCFK-UHFFFAOYSA-N	Q9UBN7
IAYGCINLNONXHY-LBPRGKRZSA-N	O14757
IAYGCINLNONXHY-LBPRGKRZSA-N	O96017
ICFJFFQQTFMIBG-UHFFFAOYSA-N	Q13131
ICFJFFQQTFMIBG-UHFFFAOYSA-N	Q15842
IKMDFBPHZNJCSN-UHFFFAOYSA-N	P48736
IRTDIKMSKMREGO-OAHLLOKOSA-N	O00329
IRTDIKMSKMREGO-OAHLLOKOSA-N	P42336
IRTDIKMSKMREGO-OAHLLOKOSA-N	P42338
IRTDIKMSKMREGO-OAHLLOKOSA-N	P48736
ITTRLTNMFYIYPA-UHFFFAOYSA-N	P00533
ITTRLTNMFYIYPA-UHFFFAOYSA-N	P04626
IXOXBSCIXZEQEQ-UHTZMRCNSA-N	P09884
JAMULYFATHSZJM-UHFFFAOYSA-N	P78527
JCKLHFMOFAYQHE-UHFFFAOYSA-N	Q00987
JCSGFHVFHSKIJH-UHFFFAOYSA-N	P20248
JCSGFHVFHSKIJH-UHFFFAOYSA-N	P24941
JCSGFHVFHSKIJH-UHFFFAOYSA-N	P49840
JCSGFHVFHSKIJH-UHFFFAOYSA-N	P49841
JLYAXFNOILIKPP-KXQOOQHDSA-N	P10415
JLYAXFNOILIKPP-KXQOOQHDSA-N	Q92843
JLYAXFNOILIKPP-KXQOOQHDSA-N	Q92934
JOGKUKXHTYWRGZ-UHFFFAOYSA-N	O00329
JOGKUKXHTYWRGZ-UHFFFAOYSA-N	P42336
JOGKUKXHTYWRGZ-UHFFFAOYSA-N	P42338
JOGKUKXHTYWRGZ-UHFFFAOYSA-N	P42345
JOGKUKXHTYWRGZ-UHFFFAOYSA-N	P48736
JOGKUKXHTYWRGZ-UHFFFAOYSA-N	Q13535
JOOXLOJCABQBSG-UHFFFAOYSA-N	O60674
JOOXLOJCABQBSG-UHFFFAOYSA-N	O60885
JOOXLOJCABQBSG-UHFFFAOYSA-N	P23458
JOOXLOJCABQBSG-UHFFFAOYSA-N	P29597
JOOXLOJCABQBSG-UHFFFAOYSA-N	P52333
JROFGZPOBKIAEW-TXEJJXNPSA-N	P42345
JSKUWFIZUALZLX-UHFFFAOYSA-N	P53350
JSKUWFIZUALZLX-UHFFFAOYSA-N	Q9H4B4
JTVBXQAYBIJXRP-SNVBAGLBSA-N	O75116
JTVBXQAYBIJXRP-SNVBAGLBSA-N	Q13464
JWNPDZNEKVCWMY-VQHVLOKHSA-N	P00533
JWNPDZNEKVCWMY-VQHVLOKHSA-N	P04626
JWNPDZNEKVCWMY-VQHVLOKHSA-N	P35968
JXLYSJRDGCGARV-UHFFFAOYSA-N	P05412
JXLYSJRDGCGARV-UHFFFAOYSA-N	P07437
JXLYSJRDGCGARV-UHFFFAOYSA-N	P23258
JXLYSJRDGCGARV-UHFFFAOYSA-N	Q71U36
JXLYSJRDGCGARV-UHFFFAOYSA-N	Q9UJT0
JXLYSJRDGCGARV-UHFFFAOYSA-N	Q9UJT1
KGPGFQWBCSZGEL-ZDUSSCGKSA-N	O96013
KGPGFQWBCSZGEL-ZDUSSCGKSA-N	P22694
KGPGFQWBCSZGEL-ZDUSSCGKSA-N	P31749
KGPGFQWBCSZGEL-ZDUSSCGKSA-N	P31751
KGPGFQWBCSZGEL-ZDUSSCGKSA-N	P51817
KGPGFQWBCSZGEL-ZDUSSCGKSA-N	Q04759
KGPGFQWBCSZGEL-ZDUSSCGKSA-N	Q13976
